step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
25,,,,,0.32975441212602163,0.0014223440947418453,0.684765636920929,1.923828125,0.9326171875,6798.3466796875,87.498685546875,6798.3466796875,,384.64904496699455,1.0634297099895775,23161.04984839766
26,,,,,0.316585361190846,0.001411578243562417,0.7228516340255737,1.6708984375,0.671875,6652.2216796875,87.1189501953125,6652.2216796875,,312.4006520679977,0.9153489290038124,23623.92586073608
27,,,,,0.3148364650141957,0.0014785547700242319,0.7100585699081421,1.72265625,0.72265625,7025.5234375,92.3492333984375,7025.5234375,,337.91756399697624,1.247645569004817,22896.340545039857
28,,,,,0.3193274526593086,0.0015873012939415787,0.689160168170929,1.755859375,0.755859375,6534.572265625,83.7311689453125,6534.572265625,,368.16954743501265,59.728662242006976,19671.60922075778
29,,,,,0.3026370625043455,0.0017048126769623195,0.6865234375,2.0693359375,1.0703125,7307.8837890625,96.6633466796875,7307.8837890625,,347.0095465389895,1.5214221360220108,23254.989622591675
30,,,,0.7104166746139526,0.3212126152120618,0.0018995091689362198,0.700488269329071,1.94921875,0.9521484375,7304.3583984375,96.3371669921875,7304.3583984375,202.20243941398803,608.9555432400084,1.457029862969648,23290.123843144585
31,,,,,0.3291110101108643,0.0021910470172201713,0.728515625,1.8232421875,0.8232421875,6469.55859375,83.46729296875,6469.55859375,,364.76037165900925,0.9710430850100238,23546.32623838737
32,,,,,0.33183189282044623,0.0013241816482967295,0.7733398675918579,2.50390625,1.50390625,5677.2001953125,68.8712060546875,5677.2001953125,,416.7311053229787,119.33269285500864,15366.975508031159
33,,,,,0.3170071084200572,0.0012818291283096528,0.751660168170929,2.9189453125,1.9208984375,6260.1279296875,78.9038154296875,6260.1279296875,,331.74339140800294,31.183498208003584,21279.471513536748
34,,,,,0.32767831274418313,0.0013693620648176363,0.6986328363418579,2.8046875,1.8046875,5676.0576171875,69.8331962890625,5676.0576171875,,318.1449665130058,44.05676916698576,20286.394263766
