step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
29,2.203809708291495,0.4012699027638317,,,0.30155121868756396,0.0015558869815350818,0.7168945074081421,1.5654296875,0.5654296875,6820.1552734375,47.6703056640625,6820.1552734375,,794.419547775,1.1157707080019463,9415.381699239984
30,2.160574861124539,0.386858287041513,,0.7583333253860474,0.2908539863282158,0.0012207834474562418,0.6875976324081421,2.2119140625,1.2216796875,7378.4638671875,54.821021484375,7378.4638671875,151.40172322699982,1043.0382641759988,1.3884700540020276,10363.998048705962
31,2.0818220831206116,0.3606073610402038,,,0.31573733206414545,0.0013426124680719909,0.7147461175918579,2.0048828125,1.0107421875,7486.23828125,56.43206640625,7486.23828125,,799.2972516299997,1.0941433320003853,10246.159993507565
32,2.2159466059174306,0.40531572049398984,,,0.2955474086954837,0.0012817915875853458,0.65966796875,2.421875,1.4248046875,6214.984375,42.706240234375,6214.984375,,786.206977838001,1.3166703839997353,8810.595932706256
33,2.172501050254687,0.39083399438431554,,,0.3005092575299386,0.0013619527067092463,0.6995117664337158,2.3359375,1.337890625,6435.7158203125,46.0678359375,6435.7158203125,,791.6824411619982,1.2349032170022838,9015.587250682329
34,2.2245721890076786,0.4081918931298693,,,0.2998489280944341,0.0013147299353084563,0.693554699420929,2.1826171875,1.18359375,7352.3642578125,56.113646484374996,7352.3642578125,,790.3744512879966,1.2216689640008553,10214.056463140161
35,2.211541877068683,0.40384783018223747,,,0.28433856768265287,0.0013741004427387793,0.76953125,2.3359375,1.3388671875,7055.1650390625,51.8830693359375,7055.1650390625,,849.2389236279996,2.5378089509977144,9821.839342483763
36,2.0333931467457718,0.3444653211489294,,,0.3027811491963348,0.0015679252368450136,0.7621093988418579,2.150390625,1.150390625,6149.9306640625,41.6641591796875,6149.9306640625,,774.023969111,2.0609135189952212,8858.103098020034
37,2.2011064267365814,0.4003692510337218,,,0.3112278858884565,0.0016195346684213519,0.7073242664337158,2.4169921875,1.4189453125,6871.3818359375,51.4773203125,6871.3818359375,,790.8261430059974,1.3376536200012197,9620.196375278729
38,2.182454267687662,0.39415167693051506,,,0.30264186902195434,0.0017654880413857654,0.771191418170929,2.2392578125,1.2392578125,6648.8974609375,47.069029296875,6648.8974609375,,786.9406199410005,1.6352262450018316,9365.970616449678
39,2.15299846133104,0.3843331268287341,,,0.3071141913615065,0.0018274805961908669,0.7268555164337158,2.3447265625,1.3466796875,6896.48828125,49.8937265625,6896.48828125,,787.9887177419987,1.5783159109960252,9646.491267552488
40,2.1362706707911947,0.37875711647199173,,0.7395833134651184,0.2915142678682514,0.0018692064013663412,0.71923828125,2.541015625,1.5439453125,7158.75,52.895236328125,7158.75,149.0880657600028,1105.2801312730007,1.4420119319984224,9933.533715346233
41,1.984348503360766,0.32811823351253633,,,0.3077793014535928,0.0020874471503304903,0.76708984375,2.53125,1.5322265625,7230.3779296875,54.2456015625,7230.3779296875,,790.8092544959982,1.6859629869977653,10066.534157429736
42,2.1877062663260016,0.3959031983442483,,,0.3220636482226382,0.0014195678472610496,0.7197265625,3.0205078125,2.0341796875,7089.126953125,53.699845703125,7089.126953125,,854.8059558019995,1.5926988159990287,9909.86839428072
43,2.2180396536501386,0.4060132178833796,,,0.2902112951064737,0.001384813255292272,0.7858397960662842,3.169921875,2.1708984375,6538.779296875,47.6923525390625,6538.779296875,,802.4827192029916,1.019733218010515,9187.30199353231
44,2.1981565033975894,0.39938584191548476,,,0.2917507793920322,0.0013441126378026524,0.7550780773162842,3.5673828125,2.5830078125,6256.154296875,44.4386787109375,6256.154296875,,779.1123910350725,2.394389559980482,9075.175988606734
45,2.1370216129171244,0.3790083950262667,,,0.2906871216111995,0.0013647800683429523,0.7027344107627869,3.1572265625,2.16796875,6073.3974609375,42.93333984375,6073.3974609375,,845.8254649881274,2.0938069811090827,8731.490547041043
46,2.135121888104969,0.3783744426615251,,,0.3105405440260256,0.001468541005827717,0.73681640625,3.2939453125,2.296875,6331.8681640625,47.2534814453125,6331.8681640625,,791.2549808530603,1.5614306759089231,9031.23745455331
47,2.203341654070912,0.4011145345089972,,,0.2714279309025187,0.001412613757608483,0.76171875,3.4150390625,2.4150390625,5566.296875,38.3015869140625,5566.296875,,788.6378533081152,2.104624155908823,8089.864964110782
48,2.236272143657019,0.4120907145523398,,,0.29761552374930034,0.001527671989389745,0.7484375238418579,3.3486328125,2.3515625,5981.5830078125,42.78288671875,5981.5830078125,,795.3028391408734,1.5669712689705193,8553.177912840101
49,2.18867745908927,0.39622615248515214,,,0.29759714440479,0.0016163726379900822,0.7933593988418579,3.4052734375,2.41015625,5424.1015625,36.9524052734375,5424.1015625,,789.9343504928984,1.80316019221209,7889.9377150727205
50,2.1816655714025694,0.39388876374091275,,0.7541666626930237,0.30230326662967855,0.0016764973427427776,0.7712891101837158,3.4716796875,2.47265625,6181.546875,45.04440625,6181.546875,145.41390610998496,1063.668858709978,1.564366227015853,8810.887768634724
51,2.1087956190307704,0.3695989588117511,,,0.29464417315966784,0.0017140917077540507,0.81298828125,3.720703125,2.7314453125,5926.1240234375,41.1890625,5926.1240234375,,779.3437363458797,2.58330937102437,8632.013273104812
52,2.2375964675601825,0.41253261012148795,,,0.3069066671332621,0.0014407988435856112,0.8043944835662842,3.3896484375,2.39453125,5708.560546875,37.9867880859375,5708.560546875,,789.2095585470088,1.5722526558674872,8192.790652090982
53,2.2168520306942794,0.40561760607973174,,,0.2973002066757999,0.0013886843009132122,0.741015613079071,3.7841796875,2.7841796875,5407.58984375,36.698452148437504,5407.58984375,,786.7862548769917,2.8883537899237126,7931.316517737542
54,2.177434880187633,0.39247848233743987,,,0.2952943522768692,0.0014410380457157146,0.8093749284744263,3.8818359375,2.8916015625,5636.853515625,39.343890625,5636.853515625,,789.5355322719552,1.7540466932114214,8193.46449926954
55,2.1820660727847976,0.3940225500247704,,,0.304753891773089,0.0015209714102901728,0.7752929925918579,4.125,3.1279296875,5999.140625,43.0861533203125,5999.140625,,860.0545086138882,1.8860508159268647,8578.65632561884
56,2.0879879327421444,0.3626626442473815,,,0.29501513933519163,0.001500068541922417,0.84423828125,4.126953125,3.1396484375,6184.71484375,44.6891455078125,6184.71484375,,845.0007911790162,1.9040147899650037,9006.660170172916
57,2.2129619856508587,0.4043210945931068,,,0.30179641576955873,0.0016256533062239953,0.751171886920929,4.3369140625,3.365234375,5540.6005859375,38.405322265625,5540.6005859375,,792.0435781378765,1.2334588770754635,8068.091606478942
58,2.143426224034812,0.3811432503505035,,,0.2937597057398307,0.001386808454503452,0.8070312738418579,4.400390625,3.412109375,5398.6025390625,38.487742187500004,5398.6025390625,,772.9597863298841,2.281494601164013,8132.65123082715
59,2.1541137849283785,0.38470566757086594,,,0.3002039817893092,0.00138099556174609,0.7513672113418579,4.599609375,3.6162109375,5874.642578125,43.0020078125,5874.642578125,,780.4101775861345,2.0800798628479242,8644.766524499302
60,2.1959958790897085,0.3986658458789012,,0.7479166388511658,0.31054830382845466,0.0014752791015926192,0.7040039300918579,4.8173828125,3.826171875,6385.83203125,47.0022177734375,6385.83203125,141.84119431721047,1032.5984907681122,2.5230636599007994,9258.306584669961
61,2.113499956541032,0.37116679367618405,,,0.29387163156906126,0.0014657235065174135,0.76953125,4.8876953125,3.9013671875,5794.185546875,41.0848125,5794.185546875,,790.6957366899587,2.9854599800892174,8411.03894395064
62,2.138790508111676,0.37959797657020466,,,0.3033440388512645,0.0014254928427952507,0.79931640625,5.1826171875,4.1953125,5488.5791015625,37.9733388671875,5488.5791015625,,791.0571921230294,2.2365926820784807,8083.129003085428
63,2.1849930449934085,0.39499860154321625,,,0.3101381183596459,0.0014659398989707029,0.748046875,5.82421875,4.8623046875,6203.662109375,46.4986259765625,6203.662109375,,801.2146563420538,3.1142802890390158,8972.289689115498
64,2.1675855261369508,0.38919545089202345,,,0.2663819286001399,0.001316043743294415,0.798828125,5.7451171875,4.77734375,6170.2705078125,44.7281123046875,6170.2705078125,,794.5573242588434,2.490136711858213,8993.167269726922
65,2.168777133498317,0.38959379512465836,,,0.3179022881313358,0.0015962045961579463,0.7462890148162842,5.3798828125,4.3994140625,5130.919921875,36.2495888671875,5130.919921875,,843.1083690009546,2.4469529998023063,7688.569104746137
66,2.1825091215136894,0.39417001412835523,,,0.2894360309669537,0.0014949902583971664,0.7801758050918579,6.2607421875,5.3203125,5690.4560546875,42.3641240234375,5690.4560546875,,782.7644423560705,3.6430701091885567,8561.244624633435
67,2.1953251936094524,0.3984425839570595,,,0.27656027408420414,0.0014758060499389103,0.8333008289337158,5.373046875,4.3955078125,5218.4833984375,35.769326171875,5218.4833984375,,789.0872334218584,3.2513799408916384,7833.767171773018
68,2.1563662484569948,0.385458059547282,,,0.28614479057887365,0.0015343681935711118,0.7718750238418579,6.349609375,5.3779296875,6187.681640625,45.2629736328125,6187.681640625,,802.4708741710056,2.8104620170779526,8950.826320919425
69,2.2353948467907356,0.4117993266768852,,,0.30295353354631516,0.00157670072305649,0.7956054210662842,5.6455078125,4.6669921875,6080.0908203125,44.3114267578125,6080.0908203125,,801.5307715409435,2.5754539258778095,8864.511438382991
70,2.1667112569594247,0.38890436666749,,0.8104166388511658,0.2838296533950597,0.001597987554681879,0.7798827886581421,5.4443359375,4.458984375,5059.125,32.8544150390625,5059.125,155.80069142207503,1040.3165281109978,2.3394805137068033,7595.554262101665
71,2.202346720084434,0.40078401451859236,,,0.31556872299825045,0.0016944679196626566,0.7833983898162842,5.7568359375,4.7861328125,5146.1025390625,36.5608095703125,5146.1025390625,,777.2612246549688,1.7869771339464933,7843.643238263567
72,2.2182280486538053,0.4060769822452362,,,0.27504747707234856,0.0013932264680498463,0.7737303972244263,6.8330078125,5.8876953125,6166.716796875,45.07059375,6166.716796875,,773.1422181609087,3.64900541305542,9352.74741697602
73,2.1824849000658,0.3941620662700933,,,0.27699008917988976,0.0014116021372139187,0.8239257335662842,7.2255859375,6.302734375,5543.236328125,40.0437587890625,5543.236328125,,770.6843902680557,4.501771844923496,8500.98968425227
74,2.135916014206785,0.3786403177531624,,,0.28091184656841506,0.0013971357643356441,0.761523425579071,7.15234375,6.2197265625,6489.765625,50.381666015625,6489.765625,,778.2853301910218,4.324652314186096,9792.229521660416
