step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/math_code_harbor_agent/num_model_calls/mean,train/vllm/request_decode_time_mean_s,train/vllm/request_prefill_time_mean_s,train/vllm/request_queue_time_mean_s,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
17,1,0,,,0.2842028022287195,0.0012772819002293545,0.68017578125,1.349609375,0.349609375,6616.68359375,81.7733818359375,1.349609375,69.58310301311724,0.029044252035827625,4.285368918719476e-06,6616.68359375,,355.49347547697835,45.306633681291714,20461.61219638849
18,1,0,,,0.3064457765417501,0.0013540548529249463,0.6338867545127869,1.3369140625,0.3369140625,7139.9619140625,93.36876953125,1.3369140625,53.071243905632066,0.029398593052442617,4.442660907329014e-06,7139.9619140625,,334.10786268813536,2.4201389248482883,23364.90738882311
19,1,0,,,0.302723128147818,0.001442185130263951,0.7916015982627869,1.396484375,0.396484375,6064.44140625,74.4409970703125,1.396484375,61.55573688642717,0.0285969050587459,4.446890179692376e-06,6064.44140625,,343.201750485925,54.86258779792115,19596.163324559362
20,1,0,,0.643750011920929,0.27856992538272607,0.0013489580214312014,0.6919921636581421,1.3310546875,0.3310546875,6550.5625,82.2684580078125,1.3310546875,59.60668779911253,0.029063044379713136,4.3663065872191845e-06,6550.5625,194.4158720858395,600.7393077940214,25.96354924980551,21701.635674978377
21,1,0,,,0.31199880680742353,0.0015202451598170796,0.6795898675918579,1.3623046875,0.3623046875,6410.013671875,81.54733984375,1.3623046875,53.138547816139045,0.05868125273069266,6.850817838863757e-06,6410.013671875,,306.0758426480461,9.746307760942727,23051.832232125882
22,1,0,,,0.30530876633429216,0.001258190453150121,0.7578125,1.7001953125,0.7001953125,6846.69921875,89.148234375,1.7001953125,46.512168118391685,0.02969854978178493,4.293649440082355e-06,6846.69921875,,342.65416761511005,22.510568824829534,22001.70844895138
23,1,0,,,0.3057165710420122,0.0012472507098983954,0.6403319835662842,1.7861328125,0.787109375,6695.515625,83.5226591796875,1.7861328125,55.3090175595083,0.030215737852256994,4.323018466801999e-06,6695.515625,,336.8276713269297,23.530221743043512,21926.235689974226
24,1,0,,,0.3065150374445693,0.001268806510978493,0.669238269329071,1.560546875,0.560546875,6718.2646484375,86.715552734375,1.560546875,45.17972987555932,0.03192214872038302,4.405469061395035e-06,6718.2646484375,,354.1991228838451,33.84291520295665,20849.718486896356
25,1,0,,,0.3126142618975791,0.0014044852495160853,0.7014648914337158,1.873046875,0.880859375,6740.6064453125,85.0793193359375,1.873046875,49.502545088055996,0.029973241348622046,4.284598441946063e-06,6740.6064453125,,375.9979000710882,1.0937914422247559,23442.843330372987
26,1,0,,,0.3027776789647305,0.0014138671620962384,0.7333984375,1.6923828125,0.6923828125,6579.998046875,84.179673828125,1.6923828125,52.74753719744631,0.031139780636895927,4.2560900924922336e-06,6579.998046875,,307.8521614631172,1.0621343632228673,23618.707550802254
27,1,0,,,0.2977730004276964,0.0014747931232932388,0.705761730670929,1.7255859375,0.7255859375,7061.50390625,91.4631484375,1.7255859375,48.88100515866665,0.029678633878883778,4.379264297820782e-06,7061.50390625,,331.61440126993693,1.016647586133331,23430.903261015956
28,1,0,,,0.3005240966565452,0.0015673931203892266,0.682324230670929,1.6513671875,0.6513671875,6495.623046875,81.1230390625,1.6513671875,45.63890777405178,0.03117394912811819,4.257046768242714e-06,6495.623046875,,377.13785063801333,69.49729364388622,19059.121243297835
