step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/math_code_harbor_agent/num_model_calls/mean,train/vllm/request_decode_time_mean_s,train/vllm/request_prefill_time_mean_s,train/vllm/request_queue_time_mean_s,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
0,,,,0.668749988079071,,,,,,,,,,,,,153.71288561006077,,,
1,2.099742887283022,0.366580962427674,0.746207916385174,,0.2786225757199645,0.001140191393616874,0.7100585699081421,1.2724609375,0.2724609375,6461.892578125,45.3675654296875,1.2724609375,37.67765266899045,0.04124421373244936,4.6603624437532254e-06,6461.892578125,,803.0599114180077,0.9207039352040738,8816.794958224711
2,2.2961173763585014,0.4320391254528339,0.6944727812551719,,0.2813859415218758,0.0011383414534194003,0.6573241949081421,1.1669921875,0.1669921875,6726.7890625,47.370724609375,1.1669921875,35.328775192815854,0.040640591129611825,4.694203691858726e-06,6726.7890625,,822.3893446200527,0.703290537931025,8928.00317163666
3,2.2376193819784027,0.4125400337039074,0.6800881821818621,,0.2611819393055157,0.0010519378763120812,0.637890636920929,1.314453125,0.322265625,6984.578125,46.856556640625,1.314453125,36.49529256688488,0.039278071473205056,4.765561996449414e-06,6984.578125,,820.7689602659084,1.0358724652323872,9293.448892103508
4,2.2174157348068055,0.4058052449356019,0.755761945643826,,0.30425483846738643,0.0012682460179682664,0.7002929449081421,1.1865234375,0.1865234375,6345.62109375,43.6656923828125,1.1865234375,39.07407476908023,0.04260139270713877,5.041321485377658e-06,6345.62109375,,835.3149311968591,1.747560917865485,8325.630935190426
5,2.191007490214088,0.3970024967380293,0.754846330503824,,0.3054610385329397,0.0012293545362354052,0.65771484375,1.150390625,0.150390625,6600.9951171875,45.3430537109375,1.150390625,35.20623922091257,0.04612633578434889,5.0066759475192e-06,6600.9951171875,,883.7326630051248,0.6783447910565883,8810.617028147763
6,2.1354588809172146,0.3784862936390715,0.8009337460316601,,0.32498577112710336,0.0013005280057853952,0.595703125,1.2392578125,0.240234375,6368.0625,44.04170703125,1.2392578125,36.80586694001905,0.03825625830183763,4.630015237816293e-06,6368.0625,,823.6265366359148,0.749692915705964,8464.94442532898
7,2.2509615342058327,0.41698717806861085,0.7335267869902964,,0.293538006307017,0.0012010392556360827,0.6500976085662842,1.18359375,0.18359375,6474.6611328125,43.950541015625,1.18359375,31.640928567489606,0.03857309420080226,6.573305362376528e-06,6474.6611328125,,825.5008037681691,0.8259497191756964,8574.187531003243
8,2.259291653859031,0.41976388461967706,0.7503449033956713,,0.3055936996793207,0.001248187608318574,0.6424804925918579,1.228515625,0.228515625,6048.7421875,39.2422763671875,1.228515625,36.71205833059804,0.041006144321009005,4.853723662650319e-06,6048.7421875,,823.8799275471829,0.7321236038114876,8069.030625937639
9,2.2622366810183845,0.42074556033946153,0.7217627826539683,,0.3150985038782892,0.0012439632298146819,0.673144519329071,1.2265625,0.2265625,6609.6240234375,45.46363671875,1.2265625,36.46717159387143,0.03931714800806461,4.605154015973177e-06,6609.6240234375,,851.6727826399729,0.7076400776859373,8497.25988666263
