step,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/math_code_harbor_agent/num_tool_calls/mean,train/mean_gen_tokens_per_sample,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec,performance/generation_tokens_per_sec_per_gpu
0,0.6604166626930237,,,,,,,,,
1,,0.28040166208211303,0.00419499106079968,0.7010742425918579,0.265625,6342.150390625,306.1238759109983,0.556087639008183,23413.866207062118,2926.7332758827647
2,,0.2828596360732263,0.004184679056791651,0.6590820550918579,0.1318359375,6736.7412109375,318.70585910003865,0.6743586430093274,23762.801467115663,2970.350183389458
3,,0.26056185666857345,0.003879570545734623,0.6594727039337158,0.19140625,6963.31640625,329.9753550920286,0.7767335079261102,23663.291652360982,2957.9114565451227
4,,0.30682486472232995,0.004621549583447404,0.7103515863418579,0.1708984375,6249.029296875,299.85598997899797,0.7579029339831322,23521.900936254915,2940.2376170318644
5,,0.30891288421844365,0.0045753607334191315,0.6314452886581421,0.146484375,6637.466796875,371.85592354199616,0.758701961953193,23964.52712451583,2995.5658905644787
6,,0.32515021486597107,0.0047686745696466915,0.5803711414337158,0.22265625,6366.5791015625,304.2355695239967,0.6894956339965574,23587.226195225103,2948.403274403138
7,,0.2998082930637338,0.00445616209790245,0.6673828363418579,0.201171875,6448.8818359375,316.7484756539925,1.780708663049154,22917.116715202166,2864.639589400271
8,,0.31315963765428023,0.004692555260220388,0.6237304210662842,0.1923828125,6042.35546875,298.75330267002573,0.8425467030028813,22902.148044548117,2862.7685055685147
9,,0.3151471891142137,0.004618806646504936,0.65771484375,0.1279296875,6756.421875,323.69008299696725,1.5619967230013572,23448.85746652128,2931.10718331516
10,0.6604166626930237,0.28657443436895846,0.004317052651273912,0.7170898914337158,0.271484375,6996.9326171875,545.7458269120543,0.7671637829625979,23761.887432656655,2970.235929082082
11,,0.281297671432867,0.00424084396315294,0.6708984375,0.2587890625,6936.603515625,325.9972255449975,0.719314934045542,23869.395071612278,2983.6743839515348
12,,0.3115458891397793,0.004691237807122661,0.6341797113418579,0.2216796875,5982.3701171875,292.0134177150321,0.7080914379912429,23227.09360010123,2903.386700012654
13,,0.3052651403168056,0.0045816543013046385,0.6580078601837158,0.271484375,6031.994140625,311.99018471495947,21.541909180989023,21861.65768264941,2732.707210331176
14,,0.3011712443749275,0.00447827203939255,0.6276366710662842,0.2177734375,6986.7265625,336.9019123330363,0.7419935090583749,23213.0679826682,2901.633497833525
15,,0.3000340145422342,0.004512965904382327,0.7132812738418579,0.2685546875,6401.740234375,374.5606382499682,0.7177935859654099,23263.82386917024,2907.97798364628
16,,0.3166114226314676,0.004770340939373341,0.626953125,0.2294921875,6518.3828125,306.9520383269992,0.7156922760186717,23939.402553712906,2992.425319214113
17,,0.2862815790131208,0.004358176069729325,0.6774413585662842,0.234375,6467.6962890625,314.2847012860002,0.7150563710019924,23185.757209060183,2898.219651132523
18,,0.3063310036313851,0.004605538607108883,0.623046875,0.2265625,6823.6240234375,325.0377816790133,0.7032955580507405,23563.906308427246,2945.4882885534057
19,,0.30304154643943093,0.0047170885075829005,0.752246081829071,0.2861328125,5975.609375,297.5129650980234,3.2895337179652415,22866.146331305943,2858.268291413243
20,0.6458333134651184,0.2706620781118545,0.004290112695699122,0.6698242425918579,0.24609375,6271.203125,521.5460153029999,0.8264171920018271,23828.599757143977,2978.574969642997
21,,0.3097148662154723,0.00480923927709398,0.6669921875,0.2548828125,6224.541015625,296.6947709660162,0.7514751189737581,23751.857329671893,2968.9821662089867
22,,0.3047087264944821,0.004575589882357178,0.73388671875,0.5654296875,6815.2119140625,323.0404013079824,0.9100455090519972,23748.269268881922,2968.5336586102403
23,,0.3039718768395687,0.004689120074687025,0.62158203125,0.515625,6544.845703125,316.13848020497244,1.003053848980926,23393.121727557733,2924.1402159447166
24,,0.2979658075428233,0.0044972541394514565,0.63818359375,0.3447265625,6505.1103515625,319.0670783050009,0.7990676540066488,23029.259819217856,2878.657477402232
25,,0.307044254853281,0.004867236507934081,0.7022460699081421,0.69140625,6647.697265625,378.94238149095327,1.0990781719447114,23621.113401162842,2952.6391751453552
26,,0.2977480773947718,0.004704916816507421,0.700390636920929,0.4560546875,6559.759765625,310.5644464819925,0.8200998460524715,23894.705007563345,2986.838125945418
27,,0.29346095421260543,0.004737339316790212,0.6904296875,0.4833984375,7000.5517578125,335.22401684196666,0.9582151609938592,23445.87955834045,2930.7349447925562
28,,0.3019230728068578,0.004912992343598432,0.6729491949081421,0.39453125,6250.361328125,305.3997642979957,0.9741175500093959,23267.140347921002,2908.3925434901253
29,,0.279850205083676,0.004849134247777442,0.6898437738418579,0.6298828125,7065.0654296875,338.15300599997863,1.4076132430345751,23573.215942405408,2946.651992800676
30,0.6979166865348816,0.2960050671681529,0.0052641871603213986,0.6639648079872131,0.6064453125,7155.5205078125,570.992248274968,1.0390733309905045,23551.08768673518,2943.8859608418975
31,,0.3088186765953651,0.005572061919991711,0.6935546398162842,0.5673828125,6252.3056640625,296.9714529470075,0.8551004730397835,23923.41001482813,2990.426251853516
32,,0.29702913763753713,0.00494146919885452,0.7681640386581421,1.0908203125,5540.8212890625,372.6014215500327,40.06178283598274,20221.655404007026,2527.7069255008782
33,,0.2906236444594015,0.00475928542338977,0.6825195550918579,1.357421875,6667.1923828125,356.86968955700286,0.7473545219982043,21308.40697866797,2663.550872333496
34,,0.29492844276751384,0.0048744879809135,0.6675781011581421,1.388671875,5434.0185546875,279.27349744102685,4.437223016982898,22613.076238743353,2826.634529842919
35,,0.3010312046544641,0.005037894884623029,0.7253906726837158,1.2275390625,5730.72265625,355.09367226599716,8.57149299205048,22738.681400961104,2842.335175120138
36,,0.2956526000366466,0.004803356458289443,0.6827148199081421,1.236328125,6593.904296875,347.2146607869654,0.7710992509382777,21559.98627098004,2694.998283872505
37,,0.30272474119124126,0.005020527934959773,0.7083984613418579,1.46875,6155.0595703125,313.4443671160261,1.4724727680440992,22584.609373233077,2823.0761716541347
38,,0.29459860972929164,0.005037982906699767,0.7529296875,1.3564453125,5860.509765625,301.9201383080217,8.549433948996011,22418.424585283945,2802.303073160493
39,,0.29538616421905317,0.005089684982124254,0.71630859375,1.4326171875,6036.1328125,327.393832664995,25.462424432043917,21153.603549258984,2644.200443657373
40,0.7437499761581421,0.2826069363854913,0.005015884315582753,0.7127929925918579,1.5869140625,6252.6103515625,565.6477461039904,1.5131665450171567,23080.556094667314,2885.0695118334143
41,,0.2981457970427073,0.00551568759559018,0.7598632574081421,1.546875,6318.896484375,323.0290414170013,1.3200115759973414,22433.66779695466,2804.2084746193327
42,,0.31116828217091097,0.005356251720272098,0.6955077648162842,1.783203125,6378.0654296875,333.33817148703383,2.3480319579830393,22097.189207227893,2762.1486509034867
43,,0.28304269713089525,0.005189211378677783,0.794238269329071,2.095703125,5822.62890625,314.8670320849633,10.956172517966479,21700.865740258952,2712.608217532369
44,,0.29442527461696955,0.00537610978557268,0.7727539539337158,1.75,6165.0302734375,341.6490630810149,26.92539595795097,20782.384209538555,2597.7980261923194
45,,0.2955950323930665,0.005628808044178868,0.70068359375,2.0341796875,6485.96484375,394.58539703302085,2.617595713993069,22583.157801487745,2822.894725185968
