step,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/math_code_harbor_agent/num_tool_calls/mean,train/mean_gen_tokens_per_sample,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec,performance/generation_tokens_per_sec_per_gpu
0,0.65625,,,,,,,,,
1,,0.28019320663679537,0.0032817108622111846,0.6989257335662842,0.2685546875,6277.8759765625,312.593243713025,0.5069725629873574,22656.087687408108,2832.0109609260135
2,,0.2835140166180281,0.0033312688876492302,0.6778320670127869,0.1669921875,6721.7314453125,327.66187476099003,0.7395184310153127,22996.79848325749,2874.5998104071864
3,,0.2626826683890613,0.0030916998145045227,0.6357421875,0.2353515625,7072.16796875,333.603202917031,0.6954318520147353,23726.863256593067,2965.8579070741334
4,,0.30220348941975317,0.003641196995047835,0.7060546875,0.1767578125,6366.421875,307.0302553870133,1.3442518039955758,23376.791291987603,2922.0989114984504
5,,0.3037126975375486,0.0035829274693703894,0.6666991710662842,0.142578125,6709.966796875,386.0382241549669,0.8587161469622515,23368.514662082707,2921.0643327603384
6,,0.32289846586672866,0.0037668883516914775,0.5859375,0.2392578125,6288.98828125,313.7527255999739,0.6865479230182245,22596.330533558623,2824.541316694828
7,,0.2923392416406614,0.0034811434314434564,0.66162109375,0.1796875,6428.66796875,314.6509705740027,0.6801161239854991,22990.185314573595,2873.7731643216994
8,,0.3103928872292272,0.003679860587226358,0.6742187738418579,0.2041015625,6106.75,297.11316984001314,0.6756076369783841,23247.62138121262,2905.9526726515774
9,,0.31480084260556396,0.003722457921817579,0.6812499761581421,0.15234375,6795.0732421875,328.60982640995644,1.0469822270679288,23218.774838972524,2902.3468548715655
10,0.6520833373069763,0.2865147189190793,0.0034858566058986185,0.7105468511581421,0.275390625,6874.7470703125,571.941809587006,1.815677898004651,23011.583583285927,2876.447947910741
11,,0.2781677381467489,0.003419820142429586,0.677050769329071,0.2734375,6932.49609375,327.24544233997585,0.6978308819816448,23730.2641749643,2966.2830218705376
12,,0.30804610395307463,0.003681683650469836,0.6385742425918579,0.3076171875,6179.6318359375,300.1189974959707,1.4532798349973746,23317.591952766485,2914.6989940958106
13,,0.30138678355160664,0.0036542383675737256,0.675585925579071,0.35546875,6172.9873046875,304.2764221719699,0.7239952040254138,22951.808211424872,2868.976026428109
14,,0.298863986273318,0.003603596607035797,0.6421874761581421,0.328125,7089.3720703125,342.4903986999998,1.1251682449947111,23164.55513119189,2895.569391398986
15,,0.3007120014476641,0.0036776495965931133,0.7072265148162842,0.3876953125,6541.68359375,373.58600097202,0.8035421789973043,23256.16993965262,2907.0212424565775
16,,0.30815698549668014,0.0038111455225120494,0.63427734375,0.326171875,6706.3916015625,319.9540754170157,0.7197409270447679,23578.520030067688,2947.315003758461
17,,0.28501759447408404,0.0035563799792868167,0.6973632574081421,0.3447265625,6620.74609375,323.18877570400946,1.0870105840149336,23044.43643562986,2880.5545544537326
18,,0.304552979773689,0.0037077273626024976,0.6541992425918579,0.294921875,6976.51953125,333.3005570200039,0.7564878929988481,23463.186486131668,2932.8983107664585
19,,0.30114750008124247,0.003833026427169983,0.772753894329071,0.33203125,6047.234375,296.03967766300775,1.1485587490024045,23290.43660882358,2911.3045761029475
20,0.6770833134651184,0.27429637490786263,0.0035739228512881027,0.6612305045127869,0.3701171875,6604.583984375,567.6578146350221,1.29738503403496,23062.42873269146,2882.8035915864325
21,,0.30972628847030137,0.003932762342429896,0.663769543170929,0.380859375,6255.1943359375,303.56061705801403,1.560292937036138,23329.108593967758,2916.1385742459697
22,,0.30272214909200557,0.003624361965101741,0.7500976324081421,0.6572265625,6916.0791015625,333.5608977189986,0.9157187800155953,23367.995262255154,2920.999407781894
23,,0.3014571985158909,0.003657340408764753,0.6636718511581421,0.6962890625,6672.935546875,324.1427662560018,0.948589744977653,23332.720970131286,2916.5901212664107
24,,0.3022462157191512,0.003639496144657528,0.6687500476837158,0.5283203125,6681.650390625,329.13846064999234,1.0666403250070289,22892.776937475912,2861.597117184489
25,,0.30719140849123505,0.0038614467205775327,0.6796875596046448,0.8115234375,6766.2880859375,386.9403887799708,0.9811930560390465,23401.28115855246,2925.1601448190577
26,,0.2978227439859893,0.0037611326447972715,0.724902331829071,0.6142578125,6626.0556640625,319.46514075703453,0.8811215509776957,23524.976300392103,2940.622037549013
27,,0.297615618393138,0.003818794112106616,0.7196288704872131,0.6943359375,7120.548828125,342.5691283160122,0.8816497249645181,23316.452763272373,2914.5565954090466
28,,0.3013655181150625,0.003909779053756779,0.7060546875,0.5576171875,6477.990234375,339.13835350895533,15.662019983923528,21579.70350089277,2697.4629376115963
29,,0.28224295360337237,0.003947714371300037,0.7005859613418579,0.912109375,7371.404296875,357.750960794976,1.04573665704811,23163.291881251112,2895.411485156389
30,0.6791666746139526,0.29818243858790083,0.004144726552112843,0.6937500238418579,0.93359375,7420.091796875,598.4463501150021,1.7979029670241289,23346.4888664736,2918.3111083092
31,,0.3074937759365639,0.004501623438329716,0.7149414420127869,0.76953125,6490.826171875,372.5421228390187,1.2997311339713633,23442.135279846276,2930.2669099807845
32,,0.3030741656975806,0.0038667135035090894,0.7698242664337158,1.3115234375,5828.0859375,340.9489396889694,29.75429481099127,19591.015482337334,2448.8769352921668
33,,0.2859364789119354,0.00367253387489086,0.741503894329071,1.6533203125,6310.3984375,319.2881133540068,1.2545634389971383,22689.307967075336,2836.163495884417
34,,0.3020668218659921,0.003941336308365351,0.69580078125,1.5400390625,5763.041015625,293.11650265101343,2.0365314219379798,22731.70265170584,2841.46283146323
35,,0.3117357306955455,0.004034181850421703,0.7051757574081421,1.36328125,6017.9501953125,384.0501338170143,23.027451011002995,21580.013541500048,2697.501692687506
36,,0.3058224826950209,0.003865073736484703,0.684277355670929,1.33984375,7045.23046875,346.37091396399774,1.3138519310159609,23003.36544374002,2875.4206804675023
37,,0.2852519142129495,0.003891336445349225,0.7588866949081421,1.5712890625,6934.21484375,347.40731467696605,2.6917835940257646,22672.96709657431,2834.1208870717887
38,,0.30266717720564884,0.004278393964028737,0.7713866829872131,1.3583984375,5868.529296875,326.3263858119608,29.69445457000984,20807.671412470572,2600.9589265588215
39,,0.31095169470199835,0.004473825141310783,0.7118164300918579,1.61328125,6637.3447265625,328.9829293890507,1.4027851810096763,23093.33363878124,2886.666704847655
40,0.7562500238418579,0.3057989051965251,0.0046386313362702936,0.7567383050918579,1.42578125,6309.236328125,557.2820368679822,1.185446546995081,22553.897166637184,2819.237145829648
41,,0.3069958258802217,0.00468854382495465,0.716015636920929,1.666015625,6514.0498046875,325.2856781909941,1.2689466220908798,22912.248872973607,2864.031109121701
42,,0.3163604418973591,0.004153052567673399,0.7652344107627869,1.8876953125,6682.7587890625,342.2864263810334,10.431591416010633,22345.290369285136,2793.161296160642
43,,0.28435341881959175,0.0038632302897525506,0.7530273199081421,2.0478515625,6357.55078125,338.56560728000477,17.85423415596597,21754.917867410266,2719.3647334262832
44,,0.32963816944402424,0.004303927622515857,0.7022460699081421,2.06640625,6856.533203125,342.343640053994,1.4995083090034313,22993.39942641519,2874.174928301899
45,,0.29535114749796776,0.004114731963625218,0.795214831829071,2.3447265625,6270.455078125,391.93920581502607,9.764183550083544,21921.558528653248,2740.194816081656
46,,0.31877592758519313,0.004390495040439646,0.8070312738418579,1.9287109375,6563.208984375,330.542926086986,1.399777457001619,22806.19594944234,2850.7744936802924
47,,0.3195024155502324,0.004560965141450879,0.698437511920929,2.2353515625,7259.5517578125,362.7513451100094,1.7669408909860067,22830.787839070686,2853.848479883836
48,,0.29452349692564894,0.0044869136054614955,0.7609374523162842,2.6982421875,6197.841796875,325.98342299298383,7.093115981959272,22195.83807249611,2774.4797590620137
49,,0.29318912668247776,0.004569597702698047,0.7093750238418579,2.31640625,6200.22265625,324.5756325349794,9.59079886705149,22127.29801112052,2765.912251390065
50,0.768750011920929,0.3122893753702556,0.004993869098001369,0.7484375238418579,2.443359375,6257.0126953125,576.1506641870365,1.7131410839501768,22457.828632366804,2807.2285790458504
51,,0.2737895657619447,0.00489056690992129,0.7516601085662842,2.7041015625,5710.3642578125,289.26680881902575,1.7105212270398624,23408.69735753686,2926.0871696921076
52,,0.29889070773606363,0.004158066794786919,0.7830077409744263,3.1953125,5114.140625,343.0511768569704,70.19232777401339,17773.43409641001,2221.679262051251
53,,0.30806342157984545,0.004284271065785106,0.7701171636581421,3.2822265625,6100.8125,332.8023242170457,21.01255925896112,21566.473215825823,2695.809151978228
54,,0.2987989478997406,0.004237517444565242,0.8145507574081421,3.3828125,5604.5595703125,341.1958382430021,48.35191189404577,19440.963154487305,2430.120394310913
